episode,Multi-Agent_GAT_DT_50_agents_reward,Multi-Agent_GAT_DT_50_agents_path_length,Multi-Agent_GAT_DT_50_agents_jammed_steps,Multi-Agent_GAT_DT_50_agents_latency,GAT_Baseline_4_features_reward,GAT_Baseline_4_features_path_length,GAT_Baseline_4_features_jammed_steps,GAT_Baseline_4_features_latency
1,-114.679138996046,277,0,64.95089992603927,-76.07835573781689,160,21,37.054343097979114
2,1.01,1,0,0.24264400558127197,-37.01793930041731,78,17,18.77414721036966
3,-19.30743145140896,41,10,9.165065131320317,-51.21456162703918,125,0,28.906707681337323
4,-12.415753505341764,28,9,6.509547252900311,-21.744370980781284,44,9,9.590577188022444
5,-29.574812460865196,78,0,18.796306954416853,-4.0658570437195065,17,0,4.008099645885906
6,-9.055677343869093,26,0,6.120508016025631,-0.8160646116391483,9,0,2.1581013282412482
7,-13.469881418808853,28,8,7.04836356826912,-35.44256411221342,98,0,24.065244275204236
8,-174.93281928208603,344,73,83.76387710415834,-15.769351585936503,54,0,12.863552649747405
9,-15.505707910461078,35,8,8.470123851931973,-2.884070455423474,13,0,3.1175121302670985
10,-54.412987965704865,146,0,34.75572422035046,-4.881586271902515,21,0,4.720260068855759
11,-4.297515055207799,17,0,4.1603230699289195,-149.45356914828244,381,0,91.69610907542514
12,-86.52403989449985,226,0,56.73787667853443,-9.106506443620358,25,1,4.952970355480393
13,-9.343802555666326,26,0,5.896540089319365,-28.53680354275538,57,18,13.843896141367834
14,-117.80303213977088,215,60,50.94578017958058,1.2414631367013436,2,0,0.47131803282292445
15,-28.29251516003585,78,0,19.11603759120437,1.7244320639131554,4,0,0.9521611885076873
16,-102.71216805871165,205,43,48.489683037259184,1.461228002862153,4,0,1.0123371378405692
17,-8.134991021292665,18,7,4.141749682116395,-0.97258731711648,7,2,1.7945811119787698
18,-8.652914617169184,21,3,5.15488915498768,-8.559408176934648,29,0,7.034702285997741
19,-18.98385790000871,56,0,13.508150663503216,-4.024852482124952,16,1,3.5767877060132864
20,-52.71784104327061,120,19,28.057056793121816,-0.9713804449894896,8,0,1.8754184107905614
21,-94.38395089481584,231,0,56.876930912285,-0.7965509668517762,9,0,2.169505156902294
