timestamp,model,episodes,training_time_min,avg_reward,success_rate,avg_path_length,avg_jammed_steps,avg_pdr
20260305_104451,Multi-Agent GAT+DT (50 agents),3000,35.51,0.93,1.0,3.67,0.29,1.0
20260305_104451,GAT Baseline (4 features),3000,75.21,-17.78,0.93,50.85,1.25,1.0
