episode,episode_reward,path_length,jammed_steps,total_latency,avg_bandwidth,avg_pdr
1,-114.679138996046,277,0,64.95089992603927,1.0,1.0
2,1.01,1,0,0.24264400558127197,1.0,1.0
3,-19.30743145140896,41,10,9.165065131320317,1.0,1.0
4,-12.415753505341764,28,9,6.509547252900311,1.0,1.0
5,-29.574812460865196,78,0,18.796306954416853,1.0,1.0
