timestamp,model,episodes,training_time_min,avg_reward,success_rate,avg_path_length,avg_jammed_steps,avg_pdr
20260304_005245,Multi-Agent GCN+DT (50 agents),3000,34.04,1.017,0.94,3.54,0.31,1.0
20260304_005245,GCN Baseline (4 features),3000,122.12,-8.471,0.76,27.44,1.4,1.0
