step,loss,latency,bandwidth
1,0.27488446874122086,0.23208863396978524,1.0
2,0.19764078435740184,0.23208863396978524,1.0
3,0.15679229906301104,0.2519809480503346,1.0
4,0.12169290690872722,0.25045379006851437,1.0
5,0.12918421818634745,0.2548004573700686,1.0
6,0.12322563519198806,0.255841014110762,1.0
7,0.13079901498662283,0.25148258626477327,1.0
8,0.11276447939552514,0.24814655442873818,1.0
9,0.12770874363098594,0.21416379531341578,1.0
10,0.12114522497791307,0.21416379531341578,1.0
11,0.11341326801314938,0.2524666666131398,1.0
12,0.09693854627183886,0.2462149606772481,1.0
13,0.08900550639295701,0.24205695292473095,1.0
14,0.09158607220682963,0.24205695292473095,1.0
15,0.11668390714717675,0.2462149606772481,1.0
16,0.13749597417492387,0.24914125539852439,1.0
17,0.136983399663825,0.24914125539852439,1.0
18,0.1258845568010858,0.255841014110762,1.0
19,0.11216092653626579,0.2475726876895442,1.0
20,0.08783539871102967,0.2475726876895442,1.0
21,0.09347047802684233,0.23310908871235636,1.0
22,0.09029163848210003,0.23086513747812837,1.0
23,0.08464469715962776,0.24861021687098678,1.0
24,0.11507721891061469,0.24861021687098678,1.0
25,0.11284335576512468,0.2589656526589798,1.0
26,0.1099018681673021,0.2572699154202253,1.0
27,0.11007639859374357,0.24861030675074364,1.0
28,0.11658445957006178,0.2589656526589798,1.0
29,0.11256431593537229,0.2589656526589798,1.0
30,0.123352235689699,0.24861021687098678,1.0
31,0.11401750209316956,0.24861021687098678,1.0
32,0.11298808499114568,0.24861021687098678,1.0
33,0.08421916517957381,0.24861021687098678,1.0
34,0.10343015265723586,0.23837670388420773,1.0
35,0.12233220426013713,0.23744705373595665,1.0
36,0.0977433012300639,0.22899562819069316,1.0
37,0.10341139968332555,0.22329305672086405,1.0
38,0.09364107130236371,0.21185539170110337,1.0
39,0.067158596545151,0.21185539170110337,1.0
40,0.1073416159895117,0.20874365985599946,1.0
41,0.10325085969192892,0.21416379531341578,1.0
42,0.09905540004458369,0.2524666666131398,1.0
43,0.1082453696527294,0.2548004573700686,1.0
44,0.11436238782471542,0.2548004573700686,1.0
45,0.11344539835391701,0.249447865441064,1.0
46,0.10513754427750718,0.249447865441064,1.0
47,0.11527299470135909,0.24914125539852439,1.0
48,0.11048955260963578,0.2499252023795848,1.0
49,0.09050188101903239,0.25663883702493856,1.0
50,0.09001266249211795,0.255990671187934,1.0
51,0.08908992075014863,0.2510724416794196,1.0
52,0.09684916356856017,0.23686475909111734,1.0
53,0.08520070847063561,0.22327111866395555,1.0
54,0.08280534118453725,0.22327111866395555,1.0
55,0.10124837527846253,0.24536911775932416,1.0
56,0.08637019419544342,0.2539815443962068,1.0
57,0.11258630761293784,0.24118507375887832,1.0
58,0.09296757504380945,0.2447556275032302,1.0
59,0.06460306140222886,0.25377471652597394,1.0
60,0.07554652319889454,0.21178521240154954,1.0
61,0.058315281407968426,0.20867775256832335,1.0
62,0.09652705910248496,0.2448594073694988,1.0
63,0.08168599966005541,0.23914113247099986,1.0
64,0.07513284153423694,0.24087594732912676,1.0
65,0.07924169201547047,0.24118507375887832,1.0
66,0.0832780103945304,0.24691676292897488,1.0
67,0.05994547008195562,0.2510724416794196,1.0
68,0.0667138015541455,0.23686475909111734,1.0
69,0.06991831398243803,0.23686475909111734,1.0
70,0.08222283016298877,0.24087594732912676,1.0
71,0.0731080873975123,0.23914113247099986,1.0
72,0.06150974387810004,0.24914125539852439,1.0
73,0.0641767288648239,0.2548004573700686,1.0
74,0.0509098509778137,0.25045379006851437,1.0
75,0.07551857498842465,0.24662225866108511,1.0
76,0.07135089717998574,0.24662225866108511,1.0
77,0.07389730179243553,0.20867775256832335,1.0
78,0.053943555505192066,0.20618980097656883,1.0
79,0.05450907195632551,0.249447865441064,1.0
80,0.06935521290574106,0.2524666666131398,1.0
81,0.06778364850640549,0.2524666666131398,1.0
