episode,Multi-Agent_GAT_DT_50_agents_reward,Multi-Agent_GAT_DT_50_agents_path_length,Multi-Agent_GAT_DT_50_agents_jammed_steps,Multi-Agent_GAT_DT_50_agents_latency,GAT_Baseline_4_features_reward,GAT_Baseline_4_features_path_length,GAT_Baseline_4_features_jammed_steps,GAT_Baseline_4_features_latency
1,-114.679138996046,277,0,64.95089992603927,-0.7564108963154628,7,1,1.646223877117881
2,1.01,1,0,0.24264400558127197,-133.32390708413084,338,0,82.15980742834205
3,-19.30743145140896,41,10,9.165065131320317,-16.271020407171257,48,0,11.986624552235712
4,-12.415753505341764,28,9,6.509547252900311,-61.63247257440171,133,23,30.923738664287377
5,-29.574812460865196,78,0,18.796306954416853,-23.448241096142954,52,11,12.343212455031807
6,-9.055677343869093,26,0,6.120508016025631,-25.763775358597197,69,0,16.822825974745655
7,-13.469881418808853,28,8,7.04836356826912,-61.58554516044808,154,0,37.22125042756994
8,-174.93281928208603,344,73,83.76387710415834,-34.187444965964794,101,0,26.478332088386413
9,-15.505707910461078,35,8,8.470123851931973,-140.66448694095425,282,53,69.18457140422449
10,-54.412987965704865,146,0,34.75572422035046,-96.57639758580487,228,0,54.272378607010204
11,-4.297515055207799,17,0,4.1603230699289195,-2.581704336843104,12,2,2.8456861421335824
12,-86.52403989449985,226,0,56.73787667853443,0.2701844910484088,8,0,1.8657762232861261
13,-9.343802555666326,26,0,5.896540089319365,0.2069814005618601,5,1,1.1700490656244553
14,-117.80303213977088,215,60,50.94578017958058,-126.5828026596908,316,0,70.91025271802312
15,-28.29251516003585,78,0,19.11603759120437,-7.330036786559772,24,1,5.406245772502316
16,-102.71216805871165,205,43,48.489683037259184,-178.76786049341766,422,0,106.70445056077006
17,-8.134991021292665,18,7,4.141749682116395,-11.66369644479004,39,0,10.299934499259784
18,-8.652914617169184,21,3,5.15488915498768,-7.480289741883988,21,0,5.237193570930303
19,-18.98385790000871,56,0,13.508150663503216,-133.5892653538169,345,0,82.28928620509923
20,-52.71784104327061,120,19,28.057056793121816,-35.53589571259578,97,0,22.037135408187336
21,-94.38395089481584,231,0,56.876930912285,-207.50406685784068,500,30,121.18822243147969
22,-23.144630743614396,47,16,11.003416560748008,-26.01218896670455,71,0,17.894248421351016
23,-5.881923626726985,23,0,5.6603922821524755,0.8365733868557707,4,0,1.03808700427774
24,-59.39262462284537,127,24,30.213890167846852,-46.747906231473955,86,22,21.12092973521545
25,-40.84470305993103,78,25,18.374523904228916,1.0253339629253055,5,0,1.1770877770387473
26,-3.4408151572845043,15,0,3.6731182600158854,-0.6687745811351753,6,3,1.4386220364860263
27,-99.94462906083942,215,30,50.95798427617447,-7.7539371619509865,28,0,6.945528094748001
28,-46.28833970324386,97,22,23.219884073582673,-6.148569513232875,26,0,6.653093217275275
29,-1.1807814111188344,10,0,2.3233137369765586,-43.03913420784899,124,1,31.097444099839663
30,-1.2698638225927008,7,0,1.7003108185433096,1.539009317208747,3,0,0.7931099355061454
31,-35.05845932690405,69,18,16.85417622339488,1.01,1,0,0.2613910712593551
32,-65.6096009778413,167,0,39.931269514544645,1.0174589348361476,3,1,0.7563457004810625
33,1.315921355640261,2,0,0.44376606832979393,-15.00537154108793,47,0,11.087367942068482
34,-53.51767046405675,138,0,33.20557586304361,-80.4840918583934,175,17,40.425460318577514
35,-76.5348493402161,180,0,42.856345055846596,-194.74534456833157,500,0,119.23331913834085
36,-12.498242051381474,36,0,8.780759161667198,-10.2682132962557,35,0,8.60737883232946
37,-5.731210432019006,17,0,4.127620258283891,0.9373779138426482,3,1,0.6639066801952774
38,-99.76042625133194,207,41,49.478418958201516,1.2082228681516556,2,0,0.40362355933597166
39,-5.248485245833308,16,4,3.855671303269138,-0.5455672748912572,6,0,1.4694379892687164
40,-18.7686493842401,46,5,10.878756156017745,-204.37198065774268,500,10,127.59620816362809
41,-14.004464561358846,39,0,9.5914137641227,1.4653894552666256,4,0,1.0411293984855308
42,-36.72770670198891,97,0,23.136103212643164,1.5055653800150495,4,0,0.9229283388627556
43,-5.18868333944667,12,5,3.030092985412816,1.4191814488819516,3,0,0.7461628501920359
44,-47.833281727355384,115,0,28.06618225139024,1.6643704121388172,4,0,0.9063491329980853
45,-9.806382303456637,33,0,8.11757013596206,1.730154099379173,3,0,0.6762996341491416
46,-143.71866662950143,354,0,86.50699514148945,1.468791935875526,3,0,0.7586976149250657
47,-5.414304087297948,12,2,2.7994712010524316,1.777064429595959,4,0,0.939067114221539
48,-32.22971618485926,65,15,15.19270678305727,1.01,1,0,0.26360358352688357
49,-91.81940425058323,172,51,40.73843190944004,1.5141362430241978,3,0,0.7789088069625308
50,-9.666863107477118,29,0,7.08982353979309,1.7415428063922938,3,0,0.7461098254106417
51,-117.44394049944239,241,41,57.455641102045846,1.0078955693424803,1,0,0.23326791756568005
52,-21.34054095986179,65,0,15.249937474744343,-1.2242828502313663,11,0,2.7895194648817925
53,-4.690660059220155,12,6,3.148491841632152,1.508100524372041,3,0,0.7476617127770925
54,-25.5746910817862,71,0,17.30745515727603,-80.70140590063521,197,0,46.989920974680274
55,-2.200939401117226,15,0,3.42204983312084,0.725021204038438,2,1,0.4667067713236812
56,-14.176095903621318,34,4,7.9355009996673065,0.38189007663014046,3,2,0.7028588470533408
57,-11.511334879640891,31,3,7.177394163211843,-0.04193452330162317,4,1,0.9700194483383751
58,-2.1414365584632966,11,1,2.6783668074453217,-297.99156237380754,500,242,119.49650460108592
59,-69.54524957630527,170,0,40.10619062779917,1.8876951984055421,4,0,0.9920534894260701
60,-8.896465491881651,27,0,6.742058663992462,-190.6065464501873,500,0,104.634755562798
61,0.3346095130542396,4,0,0.9580044749015081,-25.937997286586292,70,1,15.347796069663653
62,0.4551138320221132,4,0,0.9318864663387514,-214.69001618257525,500,45,114.15795821338087
63,-5.940701692843574,21,0,4.952385053503986,-10.926296911652713,35,0,8.202991398124718
64,-10.89123148016517,23,8,5.680163470022059,1.2724348704375317,3,0,0.7373915732618067
65,-2.2497687471952954,10,0,2.2665201605463974,-12.217824318528551,38,0,9.594362840542574
