episode,Multi-Agent_GCN_DT_50_agents_reward,Multi-Agent_GCN_DT_50_agents_path_length,Multi-Agent_GCN_DT_50_agents_jammed_steps,Multi-Agent_GCN_DT_50_agents_latency,GCN_Baseline_4_features_reward,GCN_Baseline_4_features_path_length,GCN_Baseline_4_features_jammed_steps,GCN_Baseline_4_features_latency
69,-3.5737357874579176,11,1,2.426359089629108,-182.83885288891858,500,0,130.52747373140528
70,-55.005778744131746,114,20,27.054902610713462,-15.351226027154263,34,0,7.4819852026495015
71,-27.046323195813414,71,0,17.40106501866127,0.9822177868638613,3,1,0.7220981767454958
72,-9.682913261110421,30,0,7.118071767984817,1.5344604488983649,2,0,0.46479896038898005
73,-7.828515295166897,23,0,5.604529739052986,1.3767761191782824,3,0,0.7238523553719889
74,-14.68187022241422,25,10,6.0285371239158145,1.4076022657814342,3,0,0.6200301264905859
75,-19.67996961566791,54,5,12.461750910615963,1.2959148946015744,3,0,0.7452608164314966
76,-11.26570159064363,30,0,7.089089792100655,1.2307373608395888,2,0,0.4443696627081145
77,-79.55834339921665,191,0,46.061955378931444,-229.91745964057728,500,0,139.55101769524913
78,-63.83233101957728,174,0,42.90611884371488,0.999081288533672,3,1,0.7322728497956715
79,-9.178161332740462,28,0,6.9042367432579566,-182.56796166660166,500,2,126.28183352166774
80,-35.189717866823614,92,0,22.000486028307954,1.1410066476375595,4,1,0.9909724050759354
81,-37.445000017259574,99,0,24.07780601922089,-11.899324388690486,31,4,7.189440045263925
82,-7.901955663105518,18,7,4.327361700823164,0.5554607761388439,7,0,1.6634105468210345
83,-18.436239977234976,34,12,8.271515051301051,1.862258379262773,5,0,1.2519376241927225
84,-10.739901298879527,33,0,8.019380150956767,1.6983319821855667,3,0,0.6588908606836992
85,-21.389548133890518,36,14,8.704275091004252,1.2416398628594076,2,0,0.480026394355573
86,-42.08761337275156,91,17,22.02564693930383,1.8017456771044311,3,0,0.7531433673637846
87,0.6785620294846525,5,0,1.2248171171053979,-28.17365942272925,80,0,19.525687057158056
88,-15.044256995444565,30,11,7.966502550415424,1.3395174296485988,2,0,0.41251521260490764
89,-65.9070527378948,160,0,37.905812188805506,0.5075858071256798,4,0,0.9762101460483324
90,0.4168776671818689,3,2,0.7411285572668862,1.1991087852059732,6,0,1.4637606078636107
91,-20.527135280349945,41,12,9.617110851692045,0.51,1,1,0.27280234209905946
92,-20.208416096187587,43,8,10.315970305016327,-185.55614319676548,474,0,113.72802729187126
93,-7.445300345485281,24,0,5.749770459800978,-37.42471628358389,54,27,14.693855405406358
94,-74.84317271943218,179,0,41.154919313028905,1.991117342251556,5,0,1.2640244044952471
95,-13.962705724756992,39,2,9.087847999300749,1.2497402733457923,2,0,0.46857792948414434
96,-19.119209580055422,48,0,11.368197770471278,0.6814360882881645,2,1,0.44249010114239173
97,-3.969773811170608,15,0,3.4050659807402,0.4182449879955371,2,1,0.4414639706427643
98,-52.85749446891806,143,0,34.88773833144935,-77.37997701317377,223,0,54.50026304172598
99,-6.754476025268519,12,7,2.8756387623338036,-208.48785820118843,500,0,117.47206628817615
100,-2.2547347831799245,8,2,1.859068067315736,1.31,1,0,0.26216027207154136
101,-19.620825015485973,41,14,10.296397909723419,-11.653993183090662,21,12,4.832759516823637
102,-10.617320833357686,19,10,4.694921436572324,1.5388417933533027,3,0,0.7828092476748868
103,-1.513202155721057,6,4,1.426705897732156,-203.368766463057,500,0,89.47530709483122
104,-19.155099374897524,38,14,8.915856588934279,-165.49240450114553,500,1,108.7004828232395
105,-5.099021922579593,21,0,4.822540429944582,1.4529442926346836,3,0,0.7141299386489639
106,1.01,1,0,0.24412276102045008,1.1864060148855191,4,1,0.8831454159699816
107,-17.78501353532687,45,1,10.819330818788226,1.4241290407895126,3,0,0.6711740629726287
108,-65.93470049251901,172,0,40.852093260524875,0.8295408376532144,4,0,1.0497446073796697
109,1.31,1,0,0.24718975723307476,1.1264984582398192,2,0,0.4623933892024865
110,-14.335068892247733,40,0,10.333003432385999,-5.340425972752362,22,0,5.540013027944699
111,1.01,1,0,0.2538260242800833,-9.166729134907078,31,0,7.425554977595346
112,-0.7963806881707121,8,0,1.868738155025046,-190.9860732408537,378,100,85.44016760215955
113,-0.5466429510377304,8,0,1.7906852133078028,0.4982071763524787,4,2,0.9537856193067429
114,-244.92816545561982,448,121,108.85239280431172,-14.474285474648417,44,0,11.003028918765688
115,-7.572234611403609,17,5,4.116172982162081,-198.75593005240253,500,30,130.04414875568418
116,-16.95729521407575,38,3,9.160153632554211,1.7307818626281617,6,0,1.3765354727263768
117,-9.836207115238713,31,0,7.638387276153099,-200.5595254833752,500,0,108.6669675851235
118,-2.862860270517502,6,5,1.5192268873942265,-0.0803163152504176,4,1,0.9129992206087924
119,-63.85315870535288,138,18,32.65476752158688,-184.0971252902601,500,0,134.3417733012571
120,-8.12129864511935,22,6,5.0669804754147405,-0.3420220023117142,5,2,1.157067184514318
121,-31.463400398483596,86,0,20.767403244589893,1.5392199646343467,2,0,0.45905299248886083
122,-20.66620231622652,51,7,11.524924274792008,1.5450626750530954,4,0,1.0185519355051391
123,-2.8826756146340102,14,1,3.3859095371502503,0.5090123823192332,1,1,0.2640410016895763
124,1.5475181136427225,2,0,0.4847494280832525,-200.64517359752142,500,12,111.74604260572698
125,-83.93991018956478,187,21,44.773584949929266,-221.62613780752102,500,0,113.9816305483665
126,-17.70885151553321,45,6,10.533967640922334,1.5643844049139646,2,0,0.5020356083189274
127,-5.459376672401924,12,5,2.8239645190075056,-26.85559659705521,74,0,17.535017176033506
128,-73.24951483702488,139,40,32.18985025225761,-204.0235443321249,500,0,105.392290486501
129,0.6542187051609658,5,0,1.0819554256477961,1.4328362067087275,2,0,0.47027522277967515
130,-9.561894326298496,29,0,7.11237242258849,1.6833664656405851,6,0,1.5202774153084222
131,1.4834155269412257,3,0,0.715161268937903,1.6364682441289264,4,0,1.0217399918432826
132,-1.01654186434631,9,0,2.2833412649739553,1.512584042125329,3,0,0.7312431553694383
133,-6.928784012216865,20,0,4.612200863588105,2.032234764666021,5,0,1.1264060056519658
134,0.5438787331307233,4,0,1.0580439000196022,0.4651751409398937,3,2,0.7205513841630231
135,-45.96557361942231,119,0,28.341256342971914,-220.20919516853564,500,85,109.51486882236632
136,-79.66929201497041,195,0,46.37289372635298,1.555994291862101,3,0,0.6755915144847287
137,-0.458042924789823,4,2,1.0843294784338122,-12.174203612820222,32,0,7.028606258270647
138,-7.496527533359057,22,4,5.45818616435107,-42.70539750038727,110,0,25.252799798239483
139,0.9843929505297098,1,0,0.25143371729974484,1.517119830265271,3,0,0.7401894884072987
140,-2.65748430596319,12,0,2.8558392762633455,0.9256713962098716,3,1,0.6747447131777418
141,-10.355199490292103,36,0,8.093514569035609,-113.00802745393273,257,0,56.58345791994612
142,-8.367565871212731,28,0,6.74116409239014,-151.21319575026283,500,0,122.20188560469057
143,-13.734373946619119,41,0,9.979766716082391,-22.23391279871509,46,9,10.557466451134191
144,-20.893156655069546,32,20,7.515067871859198,-49.145092884520494,58,55,13.14766722242719
145,-1.7087643486376065,7,5,1.7315698728374573,1.2526839018864027,2,0,0.4795402918214094
146,-4.263752253824187,15,0,3.7477986380541384,-8.222348812608095,26,0,5.362965971447328
147,-7.711195258902331,23,0,5.553958118789359,-23.323356306433997,31,29,8.23514619047083
148,-7.031148146411583,18,3,4.32852988087915,-0.7626655573968708,4,2,0.9065710263665809
149,-25.36270139970071,68,0,16.48826698006949,-13.88033338561672,46,0,11.739928597244344
150,-3.319050465428688,15,0,3.736833010065479,-0.23720717599274121,3,1,0.7525507475587091
151,-13.390299209597927,31,5,7.569943481113119,-16.13309519923822,48,0,11.499002877939706
152,-9.264982536018625,27,0,6.5962361624831845,-193.14050784911407,500,0,121.01389904844227
153,-5.763109339644257,13,5,2.900925673608449,-200.60164835953378,500,25,128.01779012699026
154,-10.059867022919038,30,4,6.7944136424473225,1.2202220601584302,4,1,0.913978623247315
155,-17.256335451561366,37,8,8.816797178704256,1.750329200647011,3,0,0.6593832508200479
156,-33.372760394081624,53,27,13.760489885500519,1.2233959231299183,2,0,0.4672185456690693
157,-80.76906226318455,212,0,51.423719804449796,1.389743153871967,3,0,0.7148359103139708
158,0.2857111695383463,7,0,1.5678703158154796,-186.63390502807692,500,0,126.97719187434119
159,-6.354243862719801,22,0,5.235846436601995,1.2104241176061237,2,0,0.4705171831012613
160,-15.373389470833496,40,0,9.559223831706657,1.7692514875723315,3,0,0.7609364254558538
161,-2.754922810739919,13,0,3.3385273885132816,-179.56467218480537,500,0,140.87065563038797
162,-0.2072242892696955,8,0,1.8703496276052982,1.8003349398383923,3,0,0.7508440384474164
163,-12.15408182265583,36,0,8.982260055793445,0.5052439663746234,6,0,1.3743463309955664
164,1.2508940656866283,2,0,0.48605703710104975,0.9782200305253395,3,1,0.7312250917701906
165,1.3667881062619438,2,0,0.46072994853452426,-18.372316011779315,59,0,13.671146495886191
166,-4.211168844382105,18,0,4.512833998636535,-19.85536280682621,38,23,8.092513008038049
167,-8.064994271434731,21,0,5.074783335718997,0.51,1,1,0.24354419138367378
168,-4.194760545656496,13,2,3.0931423357700156,-203.21093029847646,500,37,129.94046698759942
169,-13.836156207238545,41,0,9.291534073142197,1.1783601666838646,2,0,0.490580465366032
170,-3.055058092111053,11,0,2.6693571811262924,-255.23997388157844,500,126,109.65720308898702
171,-9.250380560077634,19,7,4.511182508078715,-15.911587821528071,55,0,14.03991647593251
172,-8.547407302075092,28,0,6.439869099116069,-24.52350365602307,68,0,17.642641511761305
173,0.5006529698857105,6,0,1.4597322136781024,1.0304308883391546,4,1,0.9068144836293408
174,-6.5585046435238095,20,1,4.619914597867891,1.570223498370485,2,0,0.5130471287166966
175,-61.881508054062515,136,20,32.786491808384106,1.2850159468601148,2,0,0.5344646911904791
176,-3.2495916296620884,15,0,3.8031652715453994,1.279011639438878,2,0,0.5323483507542657
177,-28.11993584935993,64,14,15.048820568560668,1.2369225447819812,2,0,0.5008149429149759
178,1.2536637533258728,2,0,0.47891437838166157,-0.9687302036747052,6,1,1.3362240884885754
179,-42.65329975033012,98,14,23.16495797969278,-249.73564858397444,500,0,125.70003142641356
180,-24.756887091584844,65,0,16.123760468034344,1.2604338135892665,2,0,0.5001497808841633
181,0.4789900415293882,4,0,0.9734834360819428,-193.71055302736553,500,23,112.70622602713487
182,-25.380755649612684,65,0,15.924877247539358,-16.16014823337836,45,0,10.535621189633133
183,-0.9042039255966212,9,2,2.0743167800113484,-193.96592216306,500,0,120.53772052710836
184,1.8101253953548302,3,0,0.759207757400153,1.8368746301372838,3,0,0.781398229512104
185,-10.525820563045135,31,0,7.584801807416656,-5.712688118975323,18,2,3.993450203127983
186,1.2598579197166555,2,0,0.5255305749445986,0.5141803643730414,5,0,1.2149728913431166
187,1.2292750479457082,2,0,0.4535150553895948,1.4822150904911384,4,0,0.9816617014758052
188,-12.654439438373426,44,0,10.501194566380295,-4.977903903223854,12,5,2.742352912879903
189,-19.05168601646695,56,0,13.745904905966755,1.31,1,0,0.25682484994454075
190,-12.48805742515807,38,0,9.127255966235715,-39.120089617463805,107,0,23.127144023433768
191,-6.5796156081407835,18,0,4.30856151158946,0.9654197423638847,3,1,0.7383604836036719
192,-0.21827270820263722,7,0,1.8074437167001343,1.2547679217408891,2,0,0.4934817494370297
193,1.3028233198411898,1,0,0.23722616840211383,-168.91715105233845,448,0,106.13387944465467
194,-8.302671398439813,22,4,4.964557247659457,1.4242510499007888,3,0,0.6227570450551416
195,-16.741476357878774,48,0,11.489340544323973,1.1985932495327207,2,0,0.4040398745329796
196,-4.244248472885867,14,2,3.2649424033511933,-11.741427439974164,40,0,10.00705063053462
197,0.7837571058921519,3,1,0.8034619645471535,1.559159399598077,2,0,0.4805587371161525
198,-13.796159247789115,20,16,4.987859064450684,1.4910075510170333,2,0,0.45849767070144803
199,-29.775821119518127,78,0,18.965728525438,1.5564669722495106,2,0,0.4875176369580797
200,-2.4409431319790853,8,5,2.0817873435817935,-240.66493622426898,500,10,117.25913842319157
201,-14.962779855038173,46,0,10.70396573574703,-17.548340771288593,56,0,12.689728700189288
202,-1.0141314649013882,11,0,2.8964024603578307,-176.926446485675,500,1,108.91205473610073
203,-15.65583962752484,45,0,10.930813515487412,1.6814144389067713,4,0,0.8883715669658956
204,-6.168956832526813,19,2,4.75424059316414,-189.6345166111147,500,0,95.81152553644662
205,-3.294006583686463,16,2,3.8658706848955573,-81.8749503926529,150,42,35.25190293225059
206,-46.65766878496948,112,0,28.107557033770007,-2.2314804251796856,7,4,1.5314926754184282
207,-2.636759849634559,15,0,3.639005153881923,0.48036998272214215,5,0,1.1447717580013774
208,-7.645236938762929,25,0,6.15228519953873,1.2718185768386188,3,0,0.7538826235482317
209,0.5563351742632328,4,0,0.9502390300070258,0.9571504913207383,1,0,0.24146085620442775
210,-34.03901904219927,81,7,18.37362087411204,1.2339653879073693,2,0,0.5204666535273225
211,-14.009825650614268,39,1,9.156905200519738,-7.1740746406256335,20,2,4.87989198074587
212,-4.236123531072019,18,0,4.296794013024091,-189.1831563611592,500,0,128.7586806675064
213,-0.2866042842486487,6,0,1.3567166416137737,-9.956647681056234,33,0,7.8852150190851615
214,-0.7611852279422515,10,0,2.125233950870849,1.842779409672716,3,0,0.7813835191120309
215,-48.56654248294996,92,23,21.339411031295977,-0.0618498065697769,3,3,0.6925149753186471
216,-16.108256877826157,48,0,12.112094058428422,0.2874741428043437,8,0,1.920572613177817
217,-1.5805587549011235,12,0,2.8799060600305206,1.478507121018521,3,0,0.7254876270333541
218,-42.13291366298055,98,16,23.772495959388806,-189.5063900319067,500,0,128.6950197079057
219,-2.720458717408695,7,3,1.7806757059899,-29.79018848336422,54,25,13.43882494191249
220,-0.18466028235112675,6,0,1.363871387076682,-184.25915948865548,500,0,134.52711195633498
221,-6.737895474341659,18,5,4.110670599417513,1.1872331998785233,2,0,0.4363326749034177
222,-2.5319263204905145,9,1,2.1581513591679027,1.4439842371371283,3,0,0.6613440496359121
223,-3.516765423030927,14,0,3.172237284272245,1.435811770672428,3,0,0.7004285197079921
224,-16.136506882765232,38,4,8.725205528334833,-7.119561105729951,25,0,5.74448200923057
225,-13.59441914456576,36,3,8.577586012702207,-16.670266341968365,35,16,8.13527727134807
226,-3.5636496425085262,14,0,3.3468770651398283,1.4822404340411848,3,0,0.7164945771168005
227,-2.4434391901440424,8,2,2.0909249805517045,1.559766688111964,2,0,0.5084019172169119
228,-21.68276459197409,45,12,11.3176444273848,1.4861429461828324,3,0,0.7417121463405916
229,-5.109545921538421,17,2,3.8593265162976524,1.2071834480917043,2,0,0.4418224457818712
230,-8.941999727260248,23,6,5.368358553805742,1.186326229483198,2,0,0.40544476817536806
231,-8.265879381866712,22,3,4.979754127331421,1.4733007529082116,4,0,0.8904121902269752
232,-3.6778296539133573,15,0,3.3937072467624207,0.051627411956039926,5,1,1.3014392980330307
233,-3.432842338817723,16,0,4.1586429347764655,-6.929026710500633,24,0,6.203021557824585
234,1.25325564028848,2,0,0.5004937075205661,0.9392566065068576,3,1,0.7353069205798857
235,-10.389228542243178,30,0,6.905639724117666,0.883542094115062,3,1,0.6090587148824897
236,-4.144147379630566,16,0,3.99282921075477,0.9915566218243406,3,1,0.7483885229166312
237,-1.7481226701875356,9,0,2.0664460888952734,1.446193208324726,3,0,0.7627537997436518
238,-1.9545245963264029,10,0,2.1798749391764054,1.7908521905847037,3,0,0.7174189432512197
239,-4.170102839628842,14,3,3.300277976373059,-0.013726254803486215,4,1,1.0581248215202579
240,-1.1997900145246978,13,0,3.2571753862086927,0.5729876497307475,4,0,1.0215499610378314
241,-4.093563018340905,14,5,3.325909483953144,-87.54420156788572,231,0,55.995659708398776
242,0.7440914779203436,5,0,1.246029601274205,0.7712997528730026,2,1,0.5001330870721314
243,-22.6815800462695,50,11,11.771050302067124,0.5543569871830647,5,0,1.1740031421397927
244,-0.09362008755342943,4,1,0.9852466927875227,-63.179371176317154,121,20,28.601925880207236
245,-12.264165485556957,26,8,6.471705237701898,1.703200063640316,3,0,0.6344351588162911
246,0.14725485505035363,8,0,1.8680905475932323,-45.6927995147464,160,4,39.05537344568608
247,-4.8774236491781835,23,0,5.616592158845899,1.2195937523307112,2,0,0.44321453544018863
248,-7.9379568340694195,24,2,5.396855816829077,1.2546850117937116,2,0,0.5076722212622684
249,-7.634743558684892,17,7,3.8602757344800604,1.487494651275624,3,0,0.7279004921411922
250,-19.144323357925188,37,16,8.785255368472622,1.01,1,0,0.2417550133968333
251,-1.550446128327353,9,0,2.2236203159583066,-192.20044316304205,500,0,115.58862720782538
252,0.654781148926402,5,0,1.2380884699264922,1.2513746784551627,2,0,0.4723530538614902
253,-6.403597858147863,12,9,2.8516515514024743,1.6870065881412626,5,0,1.2644979557171472
254,-9.439049252965027,23,0,5.354754287231567,0.9473626688337067,3,1,0.7375812692575537
255,-0.7354457552707814,8,0,1.9284448977554465,-24.66645371031446,70,0,16.631571021431018
256,0.19925262777279235,2,2,0.5084127646894951,-201.04276318536114,500,0,106.64051026000526
257,-7.182004064094956,20,4,4.821420295260368,-0.030202760723903266,4,1,0.9503063904769757
258,1.4807370210887738,4,0,0.9603406222679319,-21.884622349047408,40,20,10.144873177272798
259,-12.067219557595363,31,4,7.495993801978582,-246.73354542954237,500,0,124.28874615082756
260,-5.639147120038269,14,4,3.2867136023202046,-239.8262124924995,500,0,124.95162985040402
261,-5.870057879545321,22,0,5.183998193682745,1.2758865581099486,2,0,0.535100378510967
262,-0.32892607159967713,6,0,1.5348932174537882,0.9569942292705298,3,1,0.6924746032399054
263,-69.31099386316299,144,37,34.272358065398954,-0.048579514242447,4,3,1.016175852725627
264,-32.87515911718701,64,18,15.019997332569252,-16.061413562119167,55,0,12.743524243987467
265,-4.917288086711589,19,1,4.305167964846741,1.5231292202316147,3,0,0.7596010600975237
266,-2.8455867447478056,12,0,2.854573223755325,1.7220434806174685,4,0,0.9747258253731652
267,-38.99030209659668,109,0,25.99536384514819,1.521673629453719,4,0,1.0122320792074906
268,-5.428630848784331,19,3,4.223708902842877,1.5459355079666015,2,0,0.46392998327728496
269,-31.481474412113297,83,0,20.796203781593924,-222.94288453605785,500,0,129.60130566844214
270,1.1767549639943637,4,1,1.0328518058542682,-8.649382791579356,32,0,8.173385174025697
271,-7.002426609327124,19,0,4.560834855850521,0.42059445298122855,4,0,0.9215929372026956
272,-0.3353178900648577,7,0,1.6727871185843344,1.487060823630761,3,0,0.7332232867046096
273,1.2264478402365586,2,0,0.4725501040660435,1.4470916045807272,3,0,0.7107323162839552
274,-18.00037538147039,50,0,12.105576663292101,-5.47240310583005,11,5,2.572563258955352
275,-2.536131520712199,8,3,1.786149087652516,1.1352207201324114,4,1,0.8624955636132322
276,-0.08971243269776186,7,0,1.651931181332694,-196.77390233789916,500,5,109.65856845981644
277,-7.21129256988212,19,5,4.56816060247265,-171.87849538876068,500,0,113.64306024787648
278,-0.005234818542507291,7,0,1.7193275309986833,1.31,1,0,0.2600262116934785
279,-34.01730881073321,72,19,18.083180688585205,-0.7267158561225158,5,0,1.2045796692992847
280,-5.082029743492891,17,1,3.965882648980149,-204.7080528352812,500,0,119.84635808524412
281,-0.995496915495844,9,0,2.1159883833845514,0.15942260311968848,5,1,1.1040040943347798
282,-0.022927372218289666,4,1,0.9403547983357171,-5.557232550446409,21,0,5.0054042233838025
283,-1.6504787627554154,16,0,3.7807146845337365,0.2343609182421449,3,0,0.66789318937817
284,0.06512326878516839,6,0,1.3406820026998163,-16.677317556225418,51,0,11.979060327724339
285,1.7430235935315894,4,0,1.0249276307657915,-26.20098259949978,45,23,9.887937928074127
286,-42.786535395010624,84,20,20.409745451879925,1.5174876810875748,2,0,0.48290826082712346
287,-7.4183097638852225,27,1,6.670303664684873,-9.625372413559242,35,0,8.649689686739514
288,1.4979245965188874,3,0,0.7274065094448033,1.5719211431800244,2,0,0.5305103142074394
289,-0.006675851952955947,7,0,1.7485373370904238,-198.0261105395487,500,0,119.27788485453675
290,-3.8144498005441054,15,0,3.6540720838108087,1.31,1,0,0.2673069939695934
291,-5.224845833157364,13,5,3.235242615206179,1.0146685937382045,5,1,1.1921592568759825
292,1.5677766824330843,2,0,0.5186830313251183,-199.45606152602187,500,6,134.86350182790804
293,-2.4949590526641847,15,0,3.7170354109070938,-11.662752366866735,36,0,8.720579891653905
294,0.5428558374385665,3,0,0.7304448572489314,-190.89221890933175,500,0,117.30492527717479
295,-28.960422584891667,76,0,18.064503984246905,-25.501477208611146,57,12,13.66546881067187
296,-8.657943712494657,22,3,5.214473972452293,1.4951195361628553,3,0,0.7788037004252969
297,1.3618580057653247,3,0,0.6341254021531794,1.5000710226216412,2,0,0.48627675430112594
298,0.7303280281948463,6,0,1.4710024575406144,0.255573700231324,3,0,0.7357383208741535
299,-0.5203168523310302,7,0,1.7941108011781877,1.14797299190551,5,1,1.1439015900563032
300,-18.737720672706974,44,8,10.221574017510664,-17.119057366411937,41,0,9.321006855814014
301,-0.09337527856498862,6,2,1.3512558300516835,-13.60953480326994,34,0,8.85760897689401
